epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,142874,1.42254,0.9231,1.10422,0.8337,0.72034,0.79789,0.43944,1.49897,0.88791,1.17499,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,143776,1.43413,0.90385,1.10225,0.84601,0.70931,0.79989,0.43577,1.51358,0.89455,1.17376,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,144692,1.40501,0.88304,1.08293,0.84056,0.7186,0.80247,0.43877,1.4948,0.90014,1.16721,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,146569,1.42034,0.88979,1.09611,0.82846,0.72386,0.79668,0.43493,1.49978,0.8845,1.16873,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,148035,1.42196,0.88675,1.09832,0.83922,0.72298,0.80159,0.43557,1.50833,0.87426,1.17428,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,148862,1.40427,0.89144,1.09884,0.84089,0.71637,0.80516,0.43994,1.50778,0.8841,1.17803,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,149546,1.4032,0.8749,1.08533,0.82306,0.73048,0.80238,0.43549,1.51816,0.89742,1.19468,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,150211,1.42521,0.88115,1.09113,0.83249,0.72782,0.80196,0.43626,1.51482,0.89482,1.18106,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,150873,1.40127,0.87857,1.09755,0.83153,0.70975,0.78954,0.43337,1.51514,0.88053,1.18542,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,151526,1.40565,0.89527,1.09155,0.8549,0.71472,0.79802,0.4404,1.50398,0.87961,1.17394,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,152185,1.38813,0.86495,1.08649,0.84597,0.71725,0.80589,0.44094,1.50214,0.89241,1.17423,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,152854,1.39301,0.87181,1.09392,0.84195,0.71637,0.8019,0.44209,1.49453,0.87144,1.17266,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,153520,1.39774,0.86492,1.07986,0.82796,0.71901,0.79564,0.43925,1.49123,0.8754,1.16649,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,154187,1.39997,0.85674,1.07195,0.85312,0.70181,0.77968,0.42487,1.52378,0.86694,1.18522,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,154852,1.38366,0.85908,1.07956,0.84941,0.71162,0.80073,0.43881,1.49925,0.86755,1.17288,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,155522,1.40394,0.8669,1.08708,0.84309,0.70843,0.79334,0.44019,1.49577,0.87516,1.17281,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,156183,1.38484,0.87269,1.09004,0.83325,0.72298,0.79991,0.43885,1.50189,0.87065,1.17761,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,156839,1.38177,0.85385,1.08363,0.83545,0.71893,0.79114,0.42972,1.51919,0.86691,1.18452,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,157496,1.37952,0.85846,1.08564,0.83039,0.717,0.79451,0.44137,1.49754,0.86736,1.17559,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,158160,1.39566,0.861,1.08122,0.83745,0.72386,0.79406,0.43562,1.50342,0.86733,1.17645,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,158820,1.37628,0.84869,1.07931,0.84352,0.72048,0.80005,0.441,1.49153,0.85738,1.17359,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,159482,1.37949,0.85596,1.07753,0.83588,0.73015,0.80819,0.43977,1.50373,0.86541,1.17321,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,160133,1.36785,0.845,1.0772,0.85203,0.70359,0.79739,0.43694,1.51699,0.87783,1.18038,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,160797,1.35798,0.83409,1.07483,0.84329,0.71813,0.798,0.43784,1.4953,0.86622,1.17426,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,161471,1.37444,0.85029,1.08961,0.83659,0.72715,0.80273,0.4376,1.50131,0.86506,1.1672,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,162134,1.38202,0.85449,1.07744,0.85128,0.70225,0.79161,0.43352,1.50733,0.87941,1.18119,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
